Ticker,Date,Time,LTP,BuyPrice,BuyQty,SellPrice,SellQty,LTQ,OpenInterest
NIFTY-II.NFO,03/01/2022,13:10:51,17657.5,17655.55,50,17658.55,400,0,828350
NIFTY-II.NFO,03/01/2022,13:10:52,17657.5,17655.55,50,17658.95,400,0,828350
NIFTY-II.NFO,03/01/2022,13:10:53,17657.5,17655.45,50,17658.75,400,0,828350
NIFTY-II.NFO,03/01/2022,13:10:55,17657.5,17655.45,50,17658.9,400,0,828350
NIFTY-II.NFO,03/01/2022,13:10:56,17657.5,17655.9,50,17659,400,0,828350
NIFTY-II.NFO,03/01/2022,13:10:57,17657.5,17655.75,50,17659.1,400,0,828350
NIFTY-II.NFO,03/01/2022,13:10:58,17657.5,17655.45,50,17658.65,400,0,828350
NIFTY-II.NFO,03/01/2022,13:10:59,17657.5,17655.45,50,17658.95,400,0,828350
NIFTY-II.NFO,03/01/2022,13:11:00,17657.5,17655.45,50,17658.35,400,0,828350
NIFTY-II.NFO,03/01/2022,13:11:01,17657.5,17655.45,50,17658.75,400,0,828350
NIFTY-II.NFO,03/01/2022,13:11:02,17657.5,17655.45,50,17658.75,50,0,828350
NIFTY-II.NFO,03/01/2022,13:11:03,17655.4,17655.35,100,17658.75,400,100,828350
NIFTY-II.NFO,03/01/2022,13:11:04,17655.4,17655.35,100,17658.75,400,0,828350
NIFTY-II.NFO,03/01/2022,13:11:05,17655.4,17655.05,100,17658.75,400,0,828350
NIFTY-II.NFO,03/01/2022,13:11:06,17658.75,17655.45,50,17659.15,50,50,828350
NIFTY-II.NFO,03/01/2022,13:11:07,17658.75,17655.7,50,17659.15,50,0,828350
NIFTY-II.NFO,03/01/2022,13:11:08,17659.15,17656.15,50,17659.7,400,50,828350
NIFTY-II.NFO,03/01/2022,13:11:09,17659.15,17656.05,50,17659.9,400,0,828350
NIFTY-II.NFO,03/01/2022,13:11:10,17659.15,17656.55,50,17659.9,400,0,828350
NIFTY-II.NFO,03/01/2022,13:11:11,17659.15,17657.15,50,17660,50,0,828350
NIFTY-II.NFO,03/01/2022,13:11:12,17659.15,17656.9,50,17660,50,0,828350
NIFTY-II.NFO,03/01/2022,13:11:13,17659.15,17656.35,50,17659.95,400,0,828350
NIFTY-II.NFO,03/01/2022,13:11:14,17659.15,17656.6,50,17659.85,400,0,828350
